时间: 2018-12-04 13:58:18,136     方法: logging_info    消息：CLASS_NAME：T->CASE_NAME：test_F1->BACK_MSG：test_F1     
时间: 2018-12-04 13:58:19,371     方法: logging_info    消息：CLASS_NAME：T->CASE_NAME：test_F2->BACK_MSG：test_F2     
时间: 2018-12-04 13:58:19,371     方法: logging_info    消息：CLASS_NAME：T->CASE_NAME：test_F2->BACK_MSG：test_F2     
时间: 2018-12-04 13:58:20,497     方法: logging_info    消息：CLASS_NAME：T->CASE_NAME：test_F3->BACK_MSG：test_F3     
时间: 2018-12-04 13:58:20,497     方法: logging_info    消息：CLASS_NAME：T->CASE_NAME：test_F3->BACK_MSG：test_F3     
时间: 2018-12-04 13:58:20,497     方法: logging_info    消息：CLASS_NAME：T->CASE_NAME：test_F3->BACK_MSG：test_F3     
时间: 2018-12-04 13:58:21,678     方法: logging_info    消息：CLASS_NAME：T->CASE_NAME：test_S->BACK_MSG：test_S     
时间: 2018-12-04 13:58:21,678     方法: logging_info    消息：CLASS_NAME：T->CASE_NAME：test_S->BACK_MSG：test_S     
时间: 2018-12-04 13:58:21,678     方法: logging_info    消息：CLASS_NAME：T->CASE_NAME：test_S->BACK_MSG：test_S     
时间: 2018-12-04 13:58:21,678     方法: logging_info    消息：CLASS_NAME：T->CASE_NAME：test_S->BACK_MSG：test_S     
时间: 2018-12-04 13:58:23,118     方法: logging_info    消息：CLASS_NAME：T->CASE_NAME：test_assert->BACK_MSG：test_assert     
时间: 2018-12-04 13:58:23,118     方法: logging_info    消息：CLASS_NAME：T->CASE_NAME：test_assert->BACK_MSG：test_assert     
时间: 2018-12-04 13:58:23,118     方法: logging_info    消息：CLASS_NAME：T->CASE_NAME：test_assert->BACK_MSG：test_assert     
时间: 2018-12-04 13:58:23,118     方法: logging_info    消息：CLASS_NAME：T->CASE_NAME：test_assert->BACK_MSG：test_assert     
时间: 2018-12-04 13:58:23,118     方法: logging_info    消息：CLASS_NAME：T->CASE_NAME：test_assert->BACK_MSG：test_assert     
时间: 2018-12-04 13:58:25,110     方法: logging_info    消息：CLASS_NAME：T888->CASE_NAME：test_mmm->BACK_MSG：test_mmm     
时间: 2018-12-04 13:58:25,110     方法: logging_info    消息：CLASS_NAME：T888->CASE_NAME：test_mmm->BACK_MSG：test_mmm     
