ExecutionTime: 2018-12-07 09:57:09 ; Path：home_st.HomeTest.test_ ; TotalUserTime: 3.620999813079834 ; Message: None
ExecutionTime: 2018-12-07 09:57:34 ; Path：SCRM.login.home_st.HomeTest.test_ ; TotalUserTime: 4.684999942779541 ; Message: None
ExecutionTime: 2018-12-07 09:57:50 ; Path：SCRM.login.login_st.LoginTestIn.test_accountError ; TotalUserTime: 2.174999713897705 ; Message: None
ExecutionTime: 2018-12-07 09:57:54 ; Path：SCRM.login.login_st.LoginTestIn.test_accountSort ; TotalUserTime: 3.7260000705718994 ; Message: None
ExecutionTime: 2018-12-07 10:00:51 ; Path：SCRM.login.home_st.HomeTest.test_ ; TotalUserTime: 4.386000156402588 ; Message: None
ExecutionTime: 2018-12-07 10:01:25 ; Path：SCRM.login.login_st.LoginTestIn.test_accountError ; TotalUserTime: 21.39299988746643 ; Message: None
ExecutionTime: 2018-12-07 10:01:44 ; Path：SCRM.login.home_st.HomeTest.test_ ; TotalUserTime: 2.7140002250671387 ; Message: None
ExecutionTime: 2018-12-07 10:02:31 ; Path：SCRM.login.home_st.HomeTest.test_ ; TotalUserTime: 3.0289998054504395 ; Message: None
ExecutionTime: 2018-12-07 10:03:14 ; Path：SCRM.login.home_st.HomeTest.test_ ; TotalUserTime: 2.9179999828338623 ; Message: None
ExecutionTime: 2018-12-07 10:14:52 ; Path：MyUnitTest.UnitTests.test ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-07 10:16:04 ; Path：SCRM.login.home_st.HomeTest.test ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-07 10:16:08 ; Path：SCRM.login.home_st.HomeTest.test_ ; TotalUserTime: 3.9070000648498535 ; Message: None
ExecutionTime: 2018-12-07 10:16:20 ; Path：model.MyUnitTest.UnitTests.test ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-07 10:16:25 ; Path：SCRM.login.login_st.LoginTestIn.test ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-07 10:16:50 ; Path：SCRM.login.login_st.LoginTestIn.test_accountError ; TotalUserTime: 24.913000106811523 ; Message: None
ExecutionTime: 2018-12-07 10:17:13 ; Path：SCRM.login.login_st.LoginTestIn.test_accountError ; TotalUserTime: 20.35800004005432 ; Message: None
ExecutionTime: 2018-12-07 10:17:26 ; Path：model.MyUnitTest.UnitTests.test ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-07 10:18:13 ; Path：SCRM.login.home_st.HomeTest.test_ ; TotalUserTime: 4.572000026702881 ; Message: None
ExecutionTime: 2018-12-07 10:18:43 ; Path：SCRM.login.login_st.LoginTestIn.test_accountError ; TotalUserTime: 24.755000114440918 ; Message: None
ExecutionTime: 2018-12-07 10:19:06 ; Path：SCRM.login.login_st.LoginTestIn.test_accountError ; TotalUserTime: 20.375 ; Message: None
ExecutionTime: 2018-12-07 11:14:27 ; Path：SCRM.login.home_st.HomeTest.test_ ; TotalUserTime: 2.9210000038146973 ; Message: None
ExecutionTime: 2018-12-07 15:03:38 ; Path：SCRM.login.login_st.LoginTestIn.test_accountError ; TotalUserTime: 6.01200008392334 ; Message: None
ExecutionTime: 2018-12-07 15:04:37 ; Path：login_st.LoginTestIn.test_accountError ; TotalUserTime: 5.05400013923645 ; Message: None
ExecutionTime: 2018-12-07 15:04:39 ; Path：login_st.LoginTestIn.test_accountSort ; TotalUserTime: 2.022000312805176 ; Message: None
ExecutionTime: 2018-12-07 15:25:14 ; Path：home_st.HomeTest.test_ ; TotalUserTime: 3.6440000534057617 ; Message: None
ExecutionTime: 2018-12-07 15:25:51 ; Path：login_st.LoginTestIn.test_accountError ; TotalUserTime: 15.138000011444092 ; Message: None
ExecutionTime: 2018-12-07 15:25:53 ; Path：login_st.LoginTestIn.test_accountSort ; TotalUserTime: 2.0230000019073486 ; Message: None
ExecutionTime: 2018-12-07 15:32:44 ; Path：login_st.LoginTestIn.test_accountError ; TotalUserTime: 17.51099991798401 ; Message: None
ExecutionTime: 2018-12-07 15:32:46 ; Path：login_st.LoginTestIn.test_accountSort ; TotalUserTime: 2.0219998359680176 ; Message: None
ExecutionTime: 2018-12-07 15:59:46 ; Path：login_st.LoginTestIn.test_accountError ; TotalUserTime: 14.847999811172485 ; Message: None
ExecutionTime: 2018-12-07 15:59:48 ; Path：login_st.LoginTestIn.test_accountSort ; TotalUserTime: 2.0289998054504395 ; Message: None
ExecutionTime: 2018-12-07 16:02:10 ; Path：login_st.LoginTestIn.test_accountError ; TotalUserTime: 4.878000020980835 ; Message: 手机号未注册
ExecutionTime: 2018-12-07 16:02:12 ; Path：login_st.LoginTestIn.test_accountSort ; TotalUserTime: 2.0239999294281006 ; Message: None
ExecutionTime: 2018-12-07 16:03:45 ; Path：login_st.LoginTestIn.test_accountError ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-07 16:03:45 ; Path：login_st.LoginTestIn.test_accountSort ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-07 16:03:59 ; Path：login_st.LoginTestIn.test_accountError ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-07 16:03:59 ; Path：login_st.LoginTestIn.test_accountSort ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-07 16:05:25 ; Path：login_st.LoginTestIn.test_accountError ; TotalUserTime: 5.053999900817871 ; Message: 手机号未注册
ExecutionTime: 2018-12-07 16:05:27 ; Path：login_st.LoginTestIn.test_accountSort ; TotalUserTime: 2.0180001258850098 ; Message: None
ExecutionTime: 2018-12-07 16:09:14 ; Path：login_st.LoginTestIn.test_accountError ; TotalUserTime: 4.834000110626221 ; Message: 手机号未注册
ExecutionTime: 2018-12-07 16:09:16 ; Path：login_st.LoginTestIn.test_accountSort ; TotalUserTime: 2.0199999809265137 ; Message: None
ExecutionTime: 2018-12-07 16:55:38 ; Path：SCRM.login.login_st.LoginTestIn.test_accountError ; TotalUserTime: 4.817000150680542 ; Message: 手机号未注册
ExecutionTime: 2018-12-07 16:55:38 ; Path：SCRM.login.login_st.LoginTestIn.test_accountSort ; TotalUserTime: 0.01399993896484375 ; Message: None
