ExecutionTime: 2018-12-17 14:48:44 ; Path：MyUnitTest.UnitTests.test_ ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-17 15:11:54 ; Path：MyUnitTest.UnitTests.test_ ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-17 15:14:10 ; Path：MyUnitTest.UnitTests.test_ ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-17 15:14:36 ; Path：MyUnitTest.UnitTests.test_ ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-17 15:36:24 ; Path：MyUnitTest.UnitTests.test_ ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-17 15:38:34 ; Path：MyUnitTest.UnitTests.test_ ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-17 15:39:14 ; Path：MyUnitTest.UnitTests.test_ ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-17 15:59:48 ; Path：MyUnitTest.UnitTests.test_ ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-17 16:03:31 ; Path：MyUnitTest.UnitTests.test_ ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-17 16:03:52 ; Path：MyUnitTest.UnitTests.test_ ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-17 16:04:58 ; Path：MyUnitTest.UnitTests.test_ ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-17 16:05:19 ; Path：MyUnitTest.UnitTests.test_ ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-17 16:05:51 ; Path：MyUnitTest.UnitTests.test_ ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-17 16:08:11 ; Path：MyUnitTest.UnitTests.test_ ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-17 16:17:28 ; Path：MyUnitTest.UnitTests.test_ ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-17 16:18:20 ; Path：MyUnitTest.UnitTests.test_ ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-17 16:18:53 ; Path：MyUnitTest.UnitTests.test_ ; TotalUserTime: 0.0 ; Message: None
ExecutionTime: 2018-12-17 16:42:11 ; Path：menu_st.MenuManager.test_createMenu ; TotalUserTime: 10.064000129699707 ; Message: None
