ExecutionTime: 2018-12-25 12:13:18; Path：login_st.LoginTest.test_errorPhone; TotalUserTime: 10.2130s; Message: None
ExecutionTime: 2018-12-25 13:57:52; Path：login_st.LoginTest.test_errors; TotalUserTime: 0.0020s; Message: None
ExecutionTime: 2018-12-25 14:04:30; Path：login_st.LoginTest.test_errors; TotalUserTime: 0.0020s; Message: None
ExecutionTime: 2018-12-25 14:05:58; Path：login_st.LoginTest.test_errors; TotalUserTime: 0.0030s; Message: None
ExecutionTime: 2018-12-25 14:42:46; Path：login_st.LoginTest.test_errors; TotalUserTime: 0.0030s; Message: None
ExecutionTime: 2018-12-25 14:43:35; Path：login_st.LoginTest.test_errors; TotalUserTime: 0.0030s; Message: None
ExecutionTime: 2018-12-25 14:44:26; Path：login_st.LoginTest.test_errors; TotalUserTime: 0.0010s; Message: None
ExecutionTime: 2018-12-25 14:45:13; Path：login_st.LoginTest.test_errors; TotalUserTime: 0.0010s; Message: None
ExecutionTime: 2018-12-25 14:46:51; Path：login_st.LoginTest.test_errors; TotalUserTime: 0.0030s; Message: None
ExecutionTime: 2018-12-25 14:47:43; Path：login_st.LoginTest.test_errors; TotalUserTime: 0.0030s; Message: name 'ppp' is not defined
ExecutionTime: 2018-12-25 14:50:41; Path：IsEDP.SysManager.menu_st.MenuManager.test_createNull; TotalUserTime: 0.0020s; Message: None
ExecutionTime: 2018-12-25 14:50:45; Path：IsEDP.SysManager.menu_st.MenuManager.test_createNull; TotalUserTime: 0.0030s; Message: None
ExecutionTime: 2018-12-25 14:52:31; Path：IsEDP.Login.login_st.LoginTest.test_accountBoundaryAfter; TotalUserTime: 4.3980s; Message: None
ExecutionTime: 2018-12-25 14:52:35; Path：IsEDP.Login.login_st.LoginTest.test_accountBoundaryFront; TotalUserTime: 4.3650s; Message: None
ExecutionTime: 2018-12-25 14:52:40; Path：IsEDP.Login.login_st.LoginTest.test_accountError; TotalUserTime: 4.3640s; Message: None
ExecutionTime: 2018-12-25 14:52:45; Path：IsEDP.Login.login_st.LoginTest.test_accountLong; TotalUserTime: 4.7920s; Message: None
ExecutionTime: 2018-12-25 14:52:48; Path：IsEDP.Login.login_st.LoginTest.test_accountNull; TotalUserTime: 3.3280s; Message: None
ExecutionTime: 2018-12-25 14:52:53; Path：IsEDP.Login.login_st.LoginTest.test_accountSpace; TotalUserTime: 4.2990s; Message: None
ExecutionTime: 2018-12-25 14:52:58; Path：IsEDP.Login.login_st.LoginTest.test_accountSymbol; TotalUserTime: 4.3980s; Message: None
ExecutionTime: 2018-12-25 14:53:07; Path：IsEDP.Login.login_st.LoginTest.test_errorPhone; TotalUserTime: 9.6090s; Message: None
ExecutionTime: 2018-12-25 14:53:11; Path：IsEDP.Login.login_st.LoginTest.test_loginLogo; TotalUserTime: 3.7620s; Message: None
ExecutionTime: 2018-12-25 14:53:16; Path：IsEDP.Login.login_st.LoginTest.test_passwordBoundaryAfter; TotalUserTime: 4.5970s; Message: None
ExecutionTime: 2018-12-25 14:53:21; Path：IsEDP.Login.login_st.LoginTest.test_passwordBoundaryFront; TotalUserTime: 4.3230s; Message: None
ExecutionTime: 2018-12-25 14:53:25; Path：IsEDP.Login.login_st.LoginTest.test_passwordError; TotalUserTime: 4.3540s; Message: None
ExecutionTime: 2018-12-25 14:53:31; Path：IsEDP.Login.login_st.LoginTest.test_passwordForgetError; TotalUserTime: 5.4630s; Message: None
ExecutionTime: 2018-12-25 14:53:34; Path：IsEDP.Login.login_st.LoginTest.test_passwordForgetNull; TotalUserTime: 3.3380s; Message: None
ExecutionTime: 2018-12-25 14:53:39; Path：IsEDP.Login.login_st.LoginTest.test_passwordLong; TotalUserTime: 4.7230s; Message: None
ExecutionTime: 2018-12-25 14:53:43; Path：IsEDP.Login.login_st.LoginTest.test_passwordNull; TotalUserTime: 3.3030s; Message: None
ExecutionTime: 2018-12-25 14:53:47; Path：IsEDP.Login.login_st.LoginTest.test_passwordSpace; TotalUserTime: 4.2950s; Message: None
ExecutionTime: 2018-12-25 14:53:53; Path：IsEDP.Login.login_st.LoginTest.test_passwordSuccessAccount; TotalUserTime: 5.3870s; Message: None
ExecutionTime: 2018-12-25 14:54:04; Path：IsEDP.SysManager.menu_st.MenuManager.test_createNull; TotalUserTime: 0.0020s; Message: None
ExecutionTime: 2018-12-25 14:54:07; Path：IsEDP.SysManager.menu_st.MenuManager.test_createNull; TotalUserTime: 0.0020s; Message: None
ExecutionTime: 2018-12-25 14:57:54; Path：IsEDP.SysManager.menu_st.MenuManager.test_createNull; TotalUserTime: 0.0030s; Message: None
ExecutionTime: 2018-12-25 14:57:57; Path：IsEDP.SysManager.menu_st.MenuManager.test_createNull; TotalUserTime: 0.0060s; Message: None
ExecutionTime: 2018-12-25 15:00:59; Path：IsEDP.Login.login_st.LoginTest.test_accountBoundaryAfter; TotalUserTime: 4.3620s; Message: None
ExecutionTime: 2018-12-25 15:01:04; Path：IsEDP.Login.login_st.LoginTest.test_accountBoundaryFront; TotalUserTime: 4.3660s; Message: None
ExecutionTime: 2018-12-25 15:01:09; Path：IsEDP.Login.login_st.LoginTest.test_accountError; TotalUserTime: 4.3670s; Message: None
